Feature,importance,fold
ffti_min_last_1000,26.0,3
ffti_min_last_10000,10.2,3
ffti_min_last_50000,11.4,3
ffti_min_roll_mean_100,10.2,3
ffti_min_roll_mean_1000,13.6,3
ffti_min_roll_mean_10000,19.8,3
ffti_min_roll_mean_500,21.6,3
ffti_min_roll_std_100,29.0,3
ffti_min_roll_std_1000,21.2,3
ffti_min_roll_std_10000,25.2,3
ffti_min_roll_std_500,32.0,3
ffti_moment_2,1.4,3
ffti_moment_4,6.4,3
ffti_num_peaks_10,13.2,3
ffti_num_peaks_12,31.4,3
ffti_num_peaks_14,31.0,3
ffti_num_peaks_16,23.2,3
ffti_num_peaks_18,27.6,3
ffti_num_peaks_2,32.8,3
ffti_num_peaks_20,26.8,3
ffti_num_peaks_4,25.2,3
ffti_num_peaks_6,29.4,3
ffti_num_peaks_8,32.6,3
ffti_percentile_1,3.6,3
ffti_percentile_10,25.8,3
ffti_percentile_5,14.6,3
ffti_percentile_90,22.6,3
ffti_percentile_95,8.4,3
ffti_percentile_99,6.2,3
ffti_percentile_roll_mean_10_window_100,20.4,3
ffti_percentile_roll_mean_10_window_1000,13.8,3
ffti_percentile_roll_mean_10_window_10000,22.0,3
ffti_percentile_roll_mean_10_window_500,15.2,3
ffti_percentile_roll_mean_1_window_100,8.4,3
ffti_percentile_roll_mean_1_window_1000,10.6,3
ffti_percentile_roll_mean_1_window_10000,17.6,3
ffti_percentile_roll_mean_1_window_500,15.6,3
ffti_percentile_roll_mean_5_window_100,18.8,3
ffti_percentile_roll_mean_5_window_1000,16.0,3
ffti_percentile_roll_mean_5_window_10000,21.8,3
ffti_percentile_roll_mean_5_window_500,12.8,3
ffti_percentile_roll_mean_90_window_100,13.8,3
ffti_percentile_roll_mean_90_window_1000,13.8,3
ffti_percentile_roll_mean_90_window_10000,18.8,3
ffti_percentile_roll_mean_90_window_500,14.6,3
ffti_percentile_roll_mean_95_window_100,9.0,3
ffti_percentile_roll_mean_95_window_1000,24.0,3
ffti_percentile_roll_mean_95_window_10000,23.2,3
ffti_percentile_roll_mean_95_window_500,11.4,3
ffti_percentile_roll_mean_99_window_100,14.8,3
ffti_percentile_roll_mean_99_window_1000,16.6,3
ffti_percentile_roll_mean_99_window_10000,17.2,3
ffti_percentile_roll_mean_99_window_500,11.6,3
ffti_percentile_roll_std_10_window_100,28.8,3
ffti_percentile_roll_std_10_window_1000,41.4,3
ffti_percentile_roll_std_10_window_10000,24.8,3
ffti_percentile_roll_std_10_window_500,43.4,3
ffti_percentile_roll_std_1_window_100,23.6,3
ffti_percentile_roll_std_1_window_1000,23.2,3
ffti_percentile_roll_std_1_window_10000,37.0,3
ffti_percentile_roll_std_1_window_500,37.8,3
ffti_percentile_roll_std_5_window_100,27.8,3
ffti_percentile_roll_std_5_window_1000,33.8,3
ffti_percentile_roll_std_5_window_10000,18.2,3
ffti_percentile_roll_std_5_window_500,32.0,3
ffti_percentile_roll_std_90_window_100,8.2,3
ffti_percentile_roll_std_90_window_1000,16.2,3
ffti_percentile_roll_std_90_window_10000,9.4,3
ffti_percentile_roll_std_90_window_500,18.4,3
ffti_percentile_roll_std_95_window_100,15.6,3
ffti_percentile_roll_std_95_window_1000,9.0,3
ffti_percentile_roll_std_95_window_10000,3.4,3
ffti_percentile_roll_std_95_window_500,12.0,3
ffti_percentile_roll_std_99_window_100,13.2,3
ffti_percentile_roll_std_99_window_1000,10.6,3
ffti_percentile_roll_std_99_window_10000,2.6,3
ffti_percentile_roll_std_99_window_500,7.4,3
ffti_range_-100_-95,18.8,3
ffti_range_-105_-100,28.6,3
ffti_range_-10_-5,18.6,3
ffti_range_-110_-105,16.0,3
ffti_range_-115_-110,27.8,3
ffti_range_-120_-115,22.2,3
ffti_range_-125_-120,23.6,3
ffti_range_-130_-125,17.0,3
ffti_range_-135_-130,20.0,3
ffti_range_-140_-135,26.2,3
ffti_range_-145_-140,19.4,3
ffti_range_-150_-145,20.6,3
ffti_range_-155_-150,32.4,3
ffti_range_-15_-10,18.8,3
ffti_range_-160_-155,21.2,3
ffti_range_-165_-160,24.8,3
