epoch;loss;val_loss
0;4.549115395552508;2.8146005072327833
1;2.776978959882695;2.037183434450505
2;2.461336057875648;2.0340564692946983
3;2.3435908809725774;1.9960337182840977
4;2.2844380647459714;1.9920046243062552
5;2.220402419157848;1.9705479914459085
6;2.1893492398501686;1.960800995573962
7;2.1532253126494343;1.9497734153051358
8;2.1371953881595593;1.9498057621450615
9;2.114030413102462;1.9437930245086472
10;2.1093444490262487;1.9442382877392286
11;2.0943408240266175;1.9308174590558935
12;2.0734792204880184;1.927607145488868
13;2.0821544942669865;1.9255276096616922
14;2.068337326127073;1.9161400894514973
15;2.049792988619219;1.9110966161265868
16;2.0555982084858386;1.901725585072357
17;2.0405327847487844;1.898932054192769
18;2.031477455777213;1.8871490087721317
19;2.0158903268103217;1.8892176803472571
20;1.9995073235581715;1.8884309220857523
21;2.0044943642662107;1.878936404482541
22;2.006459205827029;1.8885059454584476
23;2.0031884871024217;1.8702370474476697
24;1.987190687142372;1.8743819757923585
25;1.9858321313575151;1.863601207438487
26;1.974448534395301;1.8670450456520256
27;1.9736910967733858;1.8378300521767292
28;1.967083515357395;1.8478156119314926
29;1.9646915185258336;1.8327365210998585
30;1.9563556708532583;1.829456561412565
31;1.9392502271876955;1.8430001230823965
32;1.9484509849770977;1.825698086993441
33;1.9428527050704558;1.808657827956177
34;1.9441979839657073;1.8233094063148299
35;1.9295446756153898;1.8329427269126517
36;1.9261431993281766;1.798579435988921
37;1.9200098974892674;1.812098629983432
38;1.9267383318489575;1.8003811575953235
39;1.9140985479265804;1.7785669622169815
40;1.9107497174868837;1.791177888978677
41;1.9156117960503716;1.7796447505927355
42;1.8926902017368128;1.7659816030812965
43;1.8958988299051571;1.7934933518420468
44;1.8855672668408836;1.7607039774685436
45;1.8888674611673353;1.7520936847682578
46;1.8769540259616122;1.7671316338253362
47;1.8651868480471785;1.7566028677543026
48;1.8739028768662533;1.7506347429421667
49;1.8679619285962765;1.7405926290366454
50;1.8737485996153092;1.735310042372643
