feat,importance
fftr_mean_last_10000,30.30769231
ffti_range_-4000_-3000,30.23076923
fftr_c3_5,30.23076923
ffti_percentile_roll_std_70,30.15384615
first_loc_min,30.15384615
ffti_mean_change_rate_first_10000,30.07692308
fftr_time_rev_asym_stat_5,30.07692308
percentile_roll_std_50,30
fftr_autocorrelation_1000,29.92307692
autocorrelation_5000,29.84615385
ffti_mean_change_rate,29.84615385
av_change_abs_roll_std_500,29.69230769
ffti_autocorrelation_10000,29.69230769
fftr_percentile_roll_std_40,29.69230769
fftr_range_2000_3000,29.69230769
av_change_rate_roll_std_100,29.61538462
fftr_c3_50,29.61538462
fftr_percentile_roll_std_10,29.53846154
fftr_spkt_welch_density_50,29.53846154
time_rev_asym_stat_5,29.46153846
ffti_moment_3,29.38461538
av_change_abs_roll_mean_500,29.30769231
av_change_abs_roll_std_100,29.30769231
fft_1_real,29.30769231
fftr_autocorrelation_5,29.30769231
fftr_c3_5000,29.30769231
fft_3_real,29.23076923
fftr_first_loc_min,29.23076923
autocorrelation_500,29.15384615
av_change_abs_roll_mean_1000,29.15384615
ffti_time_rev_asym_stat_50,29.15384615
fftr_time_rev_asym_stat_10000,29.15384615
fft_4_imag,28.92307692
av_change_abs_roll_std_50,28.61538462
fftr_c3_10,28.61538462
fftr_min_roll_mean_10,28.61538462
fftr_mean_change_rate_last_1000,28.46153846
std_roll_mean_10000,28.38461538
ffti_min_roll_mean_500,28.30769231
fftr_max_roll_mean_10000,28.30769231
fftr_min_roll_std_50,28.30769231
fft_5_real,28.15384615
fftr_classic_sta_lta3_mean,28.07692308
fftr_min_roll_std_10,28.07692308
binned_entropy_10,28
num_peaks_100,27.92307692
ffti_fft_1_real,27.84615385
count_above_mean,27.61538462
fftr_percentile_roll_mean_80,27.61538462
fftr_std_last_1000,27.61538462
fftr_mean_first_50000,27.53846154
gmean,27.53846154
time_rev_asym_stat_1,27.53846154
ffti_c3_10,27.46153846
ffti_range_2000_3000,27.46153846
fftr_c3_500,27.46153846
fftr_last_loc_min,27.46153846
ffti_classic_sta_lta3_mean,27.38461538
ffti_std_last_1000,27.30769231
ffti_av_change_abs_roll_mean_10000,27.23076923
fftr_classic_sta_lta6_mean,27.15384615
ffti_Hann_window_mean_15000,27
ffti_exp_Moving_average_50000_std,27
ffti_last_loc_min,26.92307692
max_last_10000,26.92307692
ffti_ave10,26.84615385
fftr_abs_max_roll_mean_1000,26.84615385
fftr_exp_Moving_average_30000_mean,26.84615385
fftr_hmean,26.84615385
fftr_percentile_roll_std_30,26.76923077
av_change_abs_roll_mean_10,26.69230769
ffti_min_roll_std_1000,26.69230769
fftr_autocorrelation_10,26.69230769
classic_sta_lta8_mean,26.61538462
ffti_percentile_roll_std_5,26.61538462
ffti_percentile_roll_mean_5,26.53846154
ffti_autocorrelation_5000,26.46153846
ffti_num_peaks_50,26.30769231
fftr_mean_last_1000,26.30769231
autocorrelation_50,26.23076923
fftr_autocorrelation_100,26.23076923
mean_first_10000,26.15384615
classic_sta_lta2_mean,26
ffti_percentile_roll_mean_75,26
std_roll_mean_500,25.92307692
fft_2_imag,25.84615385
ffti_mean_change_rate_first_1000,25.84615385
ffti_binned_entropy_10,25.76923077
std_last_10000,25.76923077
ffti_av_change_abs_roll_mean_1000,25.69230769
ffti_percentile_roll_std_10,25.69230769
ffti_min_first_1000,25.61538462
ffti_num_peaks_10,25.61538462
ffti_std_first_1000,25.61538462
fftr_time_rev_asym_stat_500,25.61538462
time_rev_asym_stat_500,25.61538462
ffti_percentile_roll_std_60,25.53846154
fftr_autocorrelation_10000,25.53846154
ffti_abs_max_roll_mean_500,25.46153846
fftr_binned_entropy_60,25.38461538
fftr_num_crossing_0,25.38461538
ffti_sum,25.30769231
fftr_min_roll_std_10000,25.30769231
skew,25.30769231
mean_last_50000,25.15384615
spkt_welch_density_5,25.15384615
first_loc_max,25.07692308
last_loc_min,25.07692308
av_change_rate_roll_mean_500,25
fftr_spkt_welch_density_100,25
min_first_50000,25
ffti_time_rev_asym_stat_5,24.92307692
last_loc_max,24.92307692
exp_Moving_average_300_std,24.76923077
fftr_std_roll_mean_10000,24.76923077
ffti_spkt_welch_density_50,24.69230769
ffti_std_roll_mean_10000,24.69230769
fftr_binned_entropy_70,24.69230769
av_change_rate_roll_mean_50,24.53846154
fftr_mean_change_rate,24.53846154
fftr_min_roll_std_100,24.53846154
fftr_percentile_roll_std_5,24.53846154
av_change_abs_roll_std_10,24.46153846
fftr_abs_percentile_30,24.46153846
max_roll_mean_1000,24.38461538
av_change_rate_roll_std_1000,24.30769231
fftr_fft_1_angle,24.30769231
fftr_med,24.23076923
fftr_min_first_1000,24.23076923
exp_Moving_average_3000_std,24.15384615
fftr_min_roll_std_1000,24.15384615
percentile_roll_std_80,24.15384615
fftr_count_below_mean,24.07692308
fftr_max_roll_mean_1000,24.07692308
fftr_min_roll_mean_500,24.07692308
av_change_rate_roll_mean_1000,24
binned_entropy_20,23.92307692
mean_first_1000,23.92307692
abs_max_roll_mean_1000,23.84615385
av_change_rate_roll_mean_10,23.84615385
max_first_10000,23.84615385
percentile_roll_mean_1,23.84615385
ffti_ave_roll_mean_10000,23.76923077
ffti_percentile_roll_mean_1,23.53846154
fft_3_angle,23.46153846
ffti_mean_last_10000,23.46153846
fftr_binned_entropy_40,23.46153846
spkt_welch_density_50,23.46153846
classic_sta_lta4_mean,23.38461538
ffti_min_roll_mean_10000,23.38461538
mean_first_50000,23.38461538
percentile_roll_mean_99,23.38461538
fftr_percentile_roll_mean_70,23.30769231
ave_roll_std_500,23.23076923
ffti_binned_entropy_5,23.23076923
ffti_num_peaks_20,23.23076923
ffti_kstat_1,23.15384615
ffti_num_crossing_0,23.15384615
ffti_percentile_roll_mean_95,23.15384615
fftr_percentile_roll_mean_99,23.15384615
fftr_range_-2000_-1000,23.15384615
max_to_min_diff,23.15384615
ffti_abs_percentile_10,23.07692308
ffti_av_change_abs_roll_mean_100,23.07692308
